count(S1.SpecimenUID)	TaxName	TaxName	TaxName	TaxName	MNLUID	MNLUID	MNLUID	MNLUID
2475	Membracidae	Ceresini	Spissistilus	festinus	40537	40542	40543	40544
751	Membracidae	Ceresini	Stictocephala	bisonia	40537	40542	40546	40547
4	Membracidae	Ceresini	Stictocephala	tauriniformis	40537	40542	40546	40548
2554	Membracidae	Hoplophorionini	Platycotis	vittata	40537	40557	40558	40559
4	Membracidae	Smiliini	Grandolobus	inaequalis	40537	40560	40561	40562
163	Membracidae	Telamonini	Telamona	unicolor	40537	41712	40563	40564
23	Membracidae	Amastrini	Bajulata	bajula	40537	40565	40566	40567
10	Membracidae	Smiliini	Cyrtolobus	oblongatus	40537	40560	40569	40570
471	Membracidae	Smiliini	Cyrtolobus	acutus	40537	40560	40569	40571
2543	Membracidae	Polyglyptini	Entylia	carinata	40537	40573	40574	40575
653	Membracidae	Polyglyptini	Publilia	modesta	40537	40573	40576	40577
193	Membracidae	Smiliini	Antianthe	expansa	40537	40560	40578	40579
46	Membracidae	Smiliini	Ashmeadea	carinata	40537	40560	40580	40581
19	Membracidae	Smiliini	Cyrtolobus	woodruffi	40537	40560	40569	40582
2998	Membracidae	Membracini	Campylenchia	latipes	40537	40585	40586	40587
816	Membracidae	Membracini	Enchenopa	binotata	40537	40585	40588	40589
110	Membracidae	Membracini	Tylopelta	gibbera	40537	40585	40590	40591
26	Membracidae	Smiliini	Ophiderma	compacta	40537	40560	40592	40593
135	Membracidae	Smiliini	Ophiderma	grisea	40537	40560	40592	40594
39	Membracidae	Smiliini	Ophiderma	pallida	40537	40560	40592	40595
357	Membracidae	Smiliini	Ophiderma	pubescens	40537	40560	40592	40596
812	Membracidae	Smiliini	Smilia	camelus	40537	40560	40597	40598
693	Membracidae	Smiliini	Ophiderma	definita	40537	40560	40592	40599
534	Membracidae	Smiliini	Ophiderma	evelyna	40537	40560	40592	40600
198	Membracidae	Smiliini	Ophiderma	flava	40537	40560	40592	40601
203	Membracidae	Smiliini	Ophiderma	salamandra	40537	40560	40592	40602
385	Membracidae	Smiliini	Xantholobus	intermedius	40537	40560	40603	40604
451	Membracidae	Smiliini	Xantholobus	muticus	40537	40560	40603	40605
209	Membracidae	Ceresini	Tortistilus	wickhami	40537	40542	40627	40628
223	Membracidae	Darnini	Stictopelta	marmorata	40537	40630	40631	40632
