FamilyName	Subfamily	Tribe	Genus	Species	HostFamily	HostGenus	HostSpecies	HostCommonName
Miridae	Orthotylinae	Orthotylini	Slaterocoris	pallidicornis	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Blepharidopterus	provancheri	Fagaceae	Quercus	garryana	Oregon white oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Pacificallis)	californicus	Fagaceae	Quercus		oak
Miridae	Orthotylinae	Orthotylini	Malacocoris	chlorizans	Fagaceae	Quercus	robur	English oak
Miridae	Phylinae	Pilophorini	Pilophorus	perplexus	Fagaceae	Quercus	garryana	Oregon white oak
Miridae	Orthotylinae	Orthotylini	Malacocoris	chlorizans	Fagaceae	Quercus	garryana	Oregon white oak
Miridae	Phylinae	Pilophorini	Pilophorus	perplexus	Fagaceae	Quercus	sp	oak
Miridae	Phylinae	Pilophorini	Pilophorus	perplexus	Fagaceae	Quercus	robur	English oak
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Tuberculoides)	annulatus	Fagaceae	Quercus	robur	NULL
Aphididae	Calaphidinae	Panaphidini	Tuberculatus (Tuberculoides)	annulatus	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Plagiognathus	modestus	Fagaceae	Quercus	macrocarpa	NULL
Miridae	Phylinae	Phylini	Plagiognathus	maculipennis	Fagaceae	Quercus	macrocarpa	NULL
Miridae	Orthotylinae	Orthotylini	Noctuocoris	fumidus	Fagaceae	Quercus	macrocarpa	NULL
Miridae	Phylinae	Pilophorini	Pilophorus	vicarius	Fagaceae	Quercus	macrocarpa	bur oak
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	modestus	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	pilosulus	Fagaceae	Quercus	sp	oak
Miridae	Phylinae	Phylini	Americodema	nigrolineatum	Fagaceae	Quercus	macrocarpa	bur oak
Miridae	Orthotylinae	Orthotylini	Reuteria	querci	Fagaceae	Quercus	sp	oak
Miridae	Phylinae	Phylini	Plagiognathus	maculipennis	Fagaceae	Quercus	sp	oak
Miridae	Phylinae	Phylini	Plagiognathus	modestus	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Schaffneria	davisi	Fagaceae	Quercus	sp	oak
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Neomyzocallis)	discolor	Fagaceae	Quercus	macrocarpa	NULL
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	quercicola	Fagaceae	Quercus	macrocarpa	NULL
Miridae	Orthotylinae	Orthotylini	Schaffneria	davisi	Fagaceae	Quercus	macrocarpa	bur oak
Miridae	Phylinae	Phylini	Lopus	decolor	Cyperaceae			bur oak
Miridae	Phylinae	Phylini	Plagiognathus	punctatipes	Fagaceae	Quercus	sp	NULL
Miridae	Deraeocorinae	Deraeocorini	Eurychilopterella	luridula	Fagaceae	Quercus	sp	oak
Miridae	Mirinae	Mirini	Pinalitus	rubricatus	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Blepharidopterus	provancheri	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Pseudoxenetus	regalis	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Lopidea	media	Fagaceae	Quercus	sp	oak
Miridae	Phylinae	Phylini	Plagiognathus	albatus	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Plagiognathus	modestus	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Americodema	nigrolineatum	Fagaceae	Quercus	sp	NULL
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	pumilus	Fagaceae	Quercus	sp	oak
Miridae	Mirinae	Stenodemini	Trigonotylus	caelestialium	Fagaceae	Quercus	macrocarpa	bur oak
Miridae	Orthotylinae	Orthotylini	Blepharidopterus	provancheri	Fagaceae	Quercus	macrocarpa	bur oak
Miridae	Orthotylinae	Orthotylini	Paraproba	capitata	Fagaceae	Quercus	alba	white oak
Miridae	Orthotylinae	Orthotylini	Paraproba	capitata	Fagaceae	Quercus	macrocarpa	bur oak
Miridae	Orthotylinae	Orthotylini	Reuteria	fuscicornis	Fagaceae	Quercus	alba	white oak
Miridae	Phylinae	Phylini	Plagiognathus	politus	Fagaceae	Quercus	sp	NULL
Miridae	Orthotylinae	Ceratocapsini	Ceratocapsus	fasciatus	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Pseudoxenetus	regalis	Fagaceae	Quercus	rubra	northern red oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Aleuroplatus	gelatinosus	Fagaceae	Quercus	lobata	Valley oak
Miridae	Orthotylinae	Orthotylini	Blepharidopterus	angulatus	Fagaceae	Quercus	sp	oak
Miridae	Orthotylinae	Orthotylini	Lopidea	dakota	Fagaceae	Quercus	sp	oak
Miridae	Mirinae	Mirini	Neolygus	fagi	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Irbisia	silvosa	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Mirinae	Mirini	Pycnocoris	ursinus	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Mirinae	Mirini	Irbisia	oreas	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Phylinae	Phylini	Tuxedo	susansolomonae	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Phylinae	Phylini	Roburocoris	exiguus	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Mirinae	Mirini	Irbisia	californica	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Mirinae	Mirini	Irbisia	brachycera	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Mirinae	Mirini	Notholopisca	californica	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Hallodapini	Cyrtopeltocoris	sp	Fagaceae	Quercus	devia	NULL
Miridae	Phylinae	Phylini	Roburocoris	exiguus	Fagaceae	Quercus		NULL
Miridae	Mirinae	Mirini	Knightomiris	distinctus	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Phytocoris	navajo	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Roburocoris	exiguus	Fagaceae	Quercus	rugosa	NULL
Miridae	Phylinae	Phylini	Roburocoris	exiguus	Fagaceae	Quercus	castanea	NULL
Miridae	Phylinae	Phylini	Roburocoris	maculosus	Fagaceae	Quercus	castanea	NULL
Miridae	Phylinae	Phylini	Roburocoris	peramplus	Fagaceae	Quercus	rugosa	NULL
Miridae	Mirinae	Mirini	Neoborops	vigilax	Fagaceae	Quercus		NULL
Miridae	Mirinae	Mirini	Knightomiris	distinctus	Fagaceae	Quercus		NULL
Miridae	Mirinae	Mirini	Neoborops	vigilax	Fagaceae	Quercus	castanea	NULL
Miridae	Mirinae	Mirini	Knightomiris	distinctus	Fagaceae	Quercus	castanea	NULL
Miridae	Phylinae	Phylini	Roburocoris	exiguus	Fagaceae	Quercus	glaucoides	NULL
Miridae	Mirinae	Mirini	Neoborops	vigilax	Fagaceae	Quercus	glaucoides	NULL
Miridae	Mirinae	Mirini	Neoborops	vigilax	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Knightomiris	distinctus	Fagaceae	Quercus	bolanyosensis	NULL
Miridae	Phylinae	Phylini	Roburocoris	exiguus	Fagaceae	Quercus	devia	NULL
Miridae	Phylinae	Phylini	Roburocoris	exiguus	Fagaceae	Quercus	depressipes	NULL
Miridae	Phylinae	Phylini	Roburocoris	peramplus	Fagaceae	Quercus	depressipes	NULL
Miridae	Phylinae	Phylini	Pygovepres	vaccinicola	Fagaceae	Quercus	depressipes	NULL
Miridae	Orthotylinae	Orthotylini	Melanotrichus	coagulatus	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Lygus	elisus	Fagaceae	Quercus		NULL
Miridae	Mirinae	Mirini	Lygus	elisus	Fagaceae	Quercus	sp	NULL
Membracidae	Smiliinae	Smiliini	Telamonanthe	pulchella	Fagaceae	Quercus		NULL
Miridae	Orthotylinae	Orthotylini	Paraproba	mexicana	Fagaceae	Quercus	sp	oak
Miridae	Mirinae	Mirini	Lygocoris	deraeocoroides	Fagaceae	Quercus	sp	oak
